Transaction_ID,Order_ID,Order_Date,Customer_ID,Customer_Name,Age,Gender,City,Product,Category,Quantity,Unit_Price,Total_Sales,Order_Month,Order_Year,Order_Month_Name
TXN0001,ORD100002,2025-02-25,CUST5529,Customer_227,30.0,Female,Bengaluru,Rice,Grocery,7,2829.77,19808.39,2,2025,February
TXN0002,ORD100003,2025-10-14,CUST3127,Customer_182,63.0,Male,Bengaluru,Book,Education,5,27906.16,139530.8,10,2025,October
TXN0003,ORD100004,2025-05-13,CUST8887,Customer_487,62.0,Female,Bengaluru,Book,Education,8,37491.06,299928.48,5,2025,May
TXN0004,ORD100005,2025-12-02,CUST2515,Customer_470,65.0,Female,Kolkata,Mobile,Electronics,9,28541.36,256872.24,12,2025,December
TXN0005,ORD100006,2025-11-20,CUST4796,Customer_380,44.0,Male,Bengaluru,Rice,Grocery,10,14036.59,140365.9,11,2025,November
TXN0006,ORD100007,2025-12-31,CUST3952,Customer_71,40.0,Female,Hyderabad,Laptop,Electronics,9,35947.47,323527.23,12,2025,December
TXN0007,ORD100008,2025-10-14,CUST1758,Customer_335,61.0,Male,Patna,Mobile,Electronics,6,49997.53,299985.18,10,2025,October
TXN0008,ORD100009,2025-12-05,CUST9622,Customer_224,35.0,Male,Kolkata,Laptop,Electronics,3,9488.83,28466.49,12,2025,December
TXN0009,ORD100010,2025-11-21,CUST9770,Customer_494,41.0,Female,Mumbai,Book,Education,6,19488.23,116929.38,11,2025,November
TXN0010,ORD100011,2025-04-16,CUST1312,Customer_40,30.0,Male,Kolkata,Mobile,Electronics,8,18024.34,144194.72,4,2025,April
TXN0011,ORD100012,2025-05-05,CUST9642,Customer_162,51.0,Male,Delhi,Shoes,Fashion,3,14151.42,42454.26,5,2025,May
TXN0012,ORD100013,2025-05-02,CUST3228,Customer_209,55.0,Female,Patna,Chair,Furniture,6,47175.43,283052.58,5,2025,May
TXN0013,ORD100014,2025-05-06,CUST1038,Customer_454,32.0,Male,Patna,Rice,Grocery,5,7413.68,37068.4,5,2025,May
TXN0014,ORD100015,2025-04-24,CUST6413,Customer_490,50.0,Female,Patna,Shoes,Fashion,8,12042.52,96340.16,4,2025,April
TXN0015,ORD100016,2025-03-12,CUST8660,Customer_213,42.0,Female,Patna,Mobile,Electronics,8,25465.31,203722.48,3,2025,March
TXN0016,ORD100017,2025-08-30,CUST9307,Customer_313,36.0,Female,Delhi,Shoes,Fashion,10,20111.09,201110.9,8,2025,August
TXN0017,ORD100018,2025-11-30,CUST4363,Customer_161,30.0,Female,Delhi,Book,Education,10,40109.12,401091.2,11,2025,November
TXN0018,ORD100019,2025-10-19,CUST3508,Customer_67,31.0,Male,Gaya,Shoes,Fashion,1,7280.64,7280.64,10,2025,October
TXN0019,ORD100020,2025-07-24,CUST5806,Customer_103,57.0,Female,Mumbai,Chair,Furniture,5,6122.59,30612.95,7,2025,July
TXN0020,ORD100021,2025-03-20,CUST6504,Customer_357,34.0,Male,Kolkata,Laptop,Electronics,8,23770.36,190162.88,3,2025,March
TXN0021,ORD100022,2025-03-18,CUST8908,Customer_190,65.0,Male,Pune,Shoes,Fashion,1,2344.98,2344.98,3,2025,March
TXN0022,ORD100023,2025-10-04,CUST2903,Customer_122,31.0,Female,Mumbai,Book,Education,7,15396.37,107774.59,10,2025,October
TXN0023,ORD100024,2025-11-23,CUST1406,Customer_499,52.0,Male,Gaya,Shoes,Fashion,10,31576.5,315765.0,11,2025,November
TXN0024,ORD100025,2025-09-14,CUST8036,Customer_173,44.0,Male,Patna,Laptop,Electronics,2,11127.06,22254.12,9,2025,September
TXN0025,ORD100026,2025-03-16,CUST6532,Customer_348,30.0,Male,Pune,Rice,Grocery,7,36069.86,252489.02,3,2025,March
TXN0026,ORD100027,2025-04-10,CUST2482,Customer_183,65.0,Male,Mumbai,Book,Education,9,39414.46,354730.14,4,2025,April
TXN0027,ORD100028,2025-08-01,CUST2003,Customer_48,35.0,Female,Mumbai,Rice,Grocery,2,23837.41,47674.82,8,2025,August
TXN0028,ORD100029,2025-08-10,CUST6149,Customer_181,32.0,Female,Patna,Laptop,Electronics,5,14534.79,72673.95,8,2025,August
TXN0029,ORD100030,2025-02-05,CUST3688,Customer_205,38.0,Female,Bengaluru,Mobile,Electronics,10,21393.69,213936.9,2,2025,February
TXN0030,ORD100031,2025-08-09,CUST3212,Customer_415,33.0,Male,Gaya,Rice,Grocery,2,21382.16,42764.32,8,2025,August
TXN0031,ORD100032,2025-05-13,CUST5063,Customer_50,33.0,Female,Mumbai,Mobile,Electronics,1,15831.03,15831.03,5,2025,May
TXN0032,ORD100033,2025-10-22,CUST9565,Customer_350,21.0,Female,Mumbai,Book,Education,8,21791.66,174333.28,10,2025,October
TXN0033,ORD100034,2025-12-04,CUST9325,Customer_352,44.0,Female,Mumbai,Laptop,Electronics,5,17556.08,87780.4,12,2025,December
TXN0034,ORD100035,2025-05-03,CUST4002,Customer_388,18.0,Female,Gaya,Laptop,Electronics,5,46822.84,234114.2,5,2025,May
TXN0035,ORD100036,2025-03-08,CUST8975,Customer_315,36.0,Female,Gaya,Mobile,Electronics,4,47896.7,191586.8,3,2025,March
TXN0036,ORD100037,2025-02-07,CUST2669,Customer_151,46.0,Male,Bengaluru,Laptop,Electronics,8,44911.49,359291.92,2,2025,February
TXN0037,ORD100038,2025-02-20,CUST5869,Customer_415,23.0,Male,Delhi,Chair,Furniture,7,40746.79,285227.53,2,2025,February
TXN0038,ORD100039,2025-10-20,CUST7249,Customer_144,29.0,Male,Kolkata,Rice,Grocery,4,4794.08,19176.32,10,2025,October
TXN0039,ORD100040,2025-03-07,CUST7465,Customer_345,58.0,Female,Bengaluru,Shoes,Fashion,8,29270.98,234167.84,3,2025,March
